# print values over probCutOff 0.05
G/L	POS	branch	branchLength	distance2root	distance2NearestOTU	numOfNodes2NearestOTU	probability
loss	13	N29	0.01165	0.5386	0.001269	1	0.07126
gain	13	N35	0.005546	0.4925	0.006563	2	0.2358
loss	13	N56	0.002738	0.4884	0.01851	1	0.3553
loss	13	S6	0.02092	0.5093	0	0	0.3568
loss	13	N57	0.008261	0.4967	0.01025	1	0.2852
loss	13	S4	0.01025	0.5069	0	0	0.07071
gain	13	S5	0.01326	0.5174	0	0	0.9555
gain	13	S61	0.4623	0.4623	0	0	0.4325
loss	13	S61	0.4623	0.4623	0	0	0.4323
gain	14	N2	0.4623	0.4623	0.01196	2	0.1608
loss	14	N2	0.4623	0.4623	0.01196	2	0.332
gain	14	S61	0.4623	0.4623	0	0	0.8587
loss	14	S61	0.4623	0.4623	0	0	0.1607
gain	15	N2	0.4623	0.4623	0.01196	2	0.2989
loss	15	N2	0.4623	0.4623	0.01196	2	0.3461
gain	15	N6	0.009603	0.4785	0.006031	1	0.1041
loss	15	S30	0.006727	0.4852	0	0	0.1077
gain	15	S29	0.006031	0.4845	0	0	0.8926
gain	15	S61	0.4623	0.4623	0	0	0.343
loss	15	S61	0.4623	0.4623	0	0	0.3407
gain	16	N2	0.4623	0.4623	0.01196	2	0.2726
loss	16	N2	0.4623	0.4623	0.01196	2	0.3179
gain	16	S6	0.02092	0.5093	0	0	0.9859
gain	16	S61	0.4623	0.4623	0	0	0.2724
loss	16	S61	0.4623	0.4623	0	0	0.3179
