"protein","genotype","term","estimate","std.error","statistic","p.value"
"RaACE2.9479","AncSarbecovirus_GARD","EC50",1.05917263150284,0.257270562766921,4.11696005991333,0.0044766123409912
"RaACE2.9479","AncSarbecovirus_GARD","n",0.55727222813523,0.0662602304477181,8.41035753075051,6.61377604960956e-05
"RaACE2.9479","AncSarbecovirus_GARD+K493Y","a",4,22.7959241686744,0.175469964297245,0.865678306332054
"RaACE2.9479","AncSarbecovirus_GARD+K493Y","b",3.28863177487599,0.0519328151341991,63.3247353600583,6.43287257438701e-11
"RaACE2.9479","AncSarbecovirus_GARD+K493Y","EC50",10000,196152.547092213,0.0509807297852671,0.960765131936958
"RaACE2.9479","AncSarbecovirus_GARD+K493Y","n",0.425248460219079,0.389350747180846,1.09219890625138,0.310903900894075
"RaACE2.9479","AncSarbecovirus_MAP","a",6.32230570522577,0.357209056183252,17.6991753030538,4.53145526785762e-07
"RaACE2.9479","AncSarbecovirus_MAP","b",3.29849436654966,0.0945422934986416,34.8890876716149,4.12287112207939e-09
"RaACE2.9479","AncSarbecovirus_MAP","EC50",2.75246463580105,0.821889314039064,3.34894807461899,0.0122684125850326
"RaACE2.9479","AncSarbecovirus_MAP","n",0.455627500285974,0.048505346491475,9.3933459555031,3.22702046663794e-05
