# print values over probCutOff 0.05
G/L	POS	branch	branchLength	distance2root	distance2NearestOTU	numOfNodes2NearestOTU	probability	expectation
gain	7	S5	0.01164	0.4833	0	0	0.9927	0.9928
gain	7	S57	0.4328	0.4328	0	0	0.1866	0.2038
loss	7	S57	0.4328	0.4328	0	0	0.2281	0.2529
gain	8	N2	0.4328	0.4328	0.01061	2	0.204	0.224
loss	8	N2	0.4328	0.4328	0.01061	2	0.245	0.2733
gain	8	N7	0.0281	0.4833	0.00361	2	0.539	0.5396
gain	8	N8	0.004566	0.4878	0.007698	2	0.4586	0.4586
loss	8	S56	0.002523	0.4869	0	0	0.5123	0.5123
gain	8	N19	0.002419	0.4893	0.00375	1	0.4831	0.4831
loss	8	N25	0.001022	0.4879	0.002152	1	0.4899	0.4899
gain	8	S57	0.4328	0.4328	0	0	0.2036	0.2235
loss	8	S57	0.4328	0.4328	0	0	0.2451	0.2733
gain	9	N2	0.4328	0.4328	0.01061	2	0.1785	0.1944
loss	9	N2	0.4328	0.4328	0.01061	2	0.2197	0.2426
gain	9	N7	0.0281	0.4833	0.00361	2	0.9517	0.9526
loss	9	S39	0.006843	0.4964	0	0	0.06298	0.06299
loss	9	N10	0.01075	0.5004	0.001226	1	0.09669	0.09671
loss	9	S42	0.006734	0.4955	0	0	0.06262	0.06262
loss	9	N16	0.00552	0.4965	0.001658	1	0.05038	0.05039
loss	9	S49	0.009675	0.5039	0	0	0.09042	0.09043
gain	9	S57	0.4328	0.4328	0	0	0.1782	0.1939
loss	9	S57	0.4328	0.4328	0	0	0.2198	0.2426
gain	10	N2	0.4328	0.4328	0.01061	2	0.2321	0.2583
loss	10	N2	0.4328	0.4328	0.01061	2	0.2589	0.2905
gain	10	N6	0.02238	0.4552	0.01202	3	0.3257	0.326
loss	10	N7	0.0281	0.4833	0.00361	2	0.1121	0.1123
gain	10	N31	0.004386	0.4601	0.007089	2	0.6434	0.6434
loss	10	N52	0.003737	0.4595	0.01762	1	0.1356	0.1356
loss	10	S28	0.02036	0.4798	0	0	0.2179	0.2181
loss	10	N53	0.007584	0.4671	0.01003	1	0.0614	0.0614
loss	10	S4	0.01003	0.4771	0	0	0.1569	0.1569
gain	10	S5	0.01164	0.4833	0	0	0.8424	0.8426
loss	10	N55	0.001418	0.473	0.004501	1	0.1443	0.1443
gain	10	S57	0.4328	0.4328	0	0	0.2576	0.2889
loss	10	S57	0.4328	0.4328	0	0	0.2571	0.2884
gain	11	N2	0.4328	0.4328	0.01061	2	0.154	0.1662
loss	11	N2	0.4328	0.4328	0.01061	2	0.2303	0.2503
gain	11	S57	0.4328	0.4328	0	0	0.9582	1.082
loss	11	S57	0.4328	0.4328	0	0	0.1539	0.1661
gain	12	N2	0.4328	0.4328	0.01061	2	0.2953	0.3351
loss	12	N2	0.4328	0.4328	0.01061	2	0.2264	0.2507
gain	12	S29	0.01268	0.4455	0	0	0.8635	0.8637
loss	12	N4	0.009904	0.4427	0.0007042	1	0.1368	0.1368
loss	12	N6	0.02238	0.4552	0.01202	3	0.1321	0.1322
gain	12	S57	0.4328	0.4328	0	0	0.2299	0.255
loss	12	S57	0.4328	0.4328	0	0	0.2306	0.2557
gain	13	N2	0.4328	0.4328	0.01061	2	0.1837	0.2004
loss	13	N2	0.4328	0.4328	0.01061	2	0.225	0.249
gain	13	S28	0.02036	0.4798	0	0	0.9851	0.9856
gain	13	S57	0.4328	0.4328	0	0	0.1835	0.2001
loss	13	S57	0.4328	0.4328	0	0	0.225	0.249
