target,huACE2,cvACE2,RaACE2.787,RsACE2.3364,RpACE2,expression
SARS-CoV-1_PC4-137_PC04,8.3492,8.4467,11.3683,5.7068,6.0002,10.1928
SARS-CoV-1_GD03T0013_HP04,8.7693,8.45,9.5284,5.1244,6.0013,10.2122
SARS-CoV-1_GZ0402_HP04,6.6661,6.0434,5.7006,5.2724,6.0034,9.4512
SARS-CoV-1_SZ1_PC03,8.3419,7.9005,11.2362,5.8078,6.0001,10.1745
LYRa11,10.2568,5.0107,8.673,5.1968,6,10.1431
WIV1,10.6686,5.01,9.3271,5.8397,6,10.2012
Rs7327,10.4052,5.0068,9.1475,5.6113,6.0007,10.2556
Rs4231,11.0047,8.5759,11.4541,9.5184,6.0033,10.2211
RsSHC014,10.9265,8.5707,11.4986,9.5945,6.0017,10.2843
Rs4084,10.9301,8.5757,11.4961,9.5801,6.0005,10.2938
AncClade2_MAP,5.127,5.0072,5.0302,5.1832,6.0028,10.1347
AncClade2_alt,5.1359,5.0058,5.0339,5.1812,6.0047,10.1085
AncClade2_tree2,5.1177,5.0081,5.0444,5.207,6.0042,10.1975
AncClade2_alt1_subs-only,5.1236,5.004,5.5503,5.7106,6.1816,7.9724
AncClade2_alt2_del1-only,7.8734,5.003,5.0352,5.135,6.0001,9.7922
AncClade2_alt3_del2-only,8.0957,5.003,5.5591,5.8769,6.1264,9.8996
AncClade2_alt4_dels-only,5.1415,5.0032,5.1465,5.6112,6.0055,8.9982
Rf4092,5.0958,5.007,5.0438,5.209,6.0023,10.1219
RmYN02,5.1043,5.0065,5.0401,5.2033,6.0048,10.1948
YN2013,5.1106,5.0075,5.0524,5.1921,6.0047,10.2178
ZC45,5.1305,5.0023,5.0403,5.2619,6.0215,10.0426
ZXC21,5.1055,5.0033,5.0425,5.2912,6.0126,9.9846
Rf1,5.1244,5.007,5.049,5.1887,6.0014,10.1638
JL2012,5.1171,5.0046,5.0455,5.2479,6.0103,10.1559
273-2005,5.106,5.0053,5.1234,5.3682,6.0101,9.9353
HeB2013,5.0967,5.0082,5.0428,5.221,6.0017,10.0424
HuB2013,5.091,5.0049,5.0317,5.173,6.002,10.2115
Rs4247,5.1139,5.0098,5.0443,5.1736,6.0041,10.1636
Longquan-140,5.1037,5.0103,5.0356,5.1866,6.0012,10.0063
HKU3-8,NA,NA,NA,NA,NA,NA
HKU3-1,5.1134,5.0062,5.0378,5.1819,6.0013,10.1201
GX2013,5.1298,5.0045,5.0353,5.1874,6.002,10.1301
Shaanxi2011,5.1182,5.0114,5.0347,5.1741,6.0035,10.2584
279-2005,5.1207,5.006,5.0265,5.1607,6.002,10.163
As6526,5.11,5.0094,5.0365,5.1804,6.0012,10.1864
Yunnan2011,5.0967,5.0059,5.0555,5.2174,6.0034,10.1321
Rs4237,5.0842,5.0105,5.0317,5.1596,6.0004,10.2021
Rs4081,5.1128,5.0073,5.0324,5.1642,6.0015,10.1184
Rp3,5.0989,5.0031,5.033,5.165,6.0014,10.189
