# print with MP based on the cost matrix: 
#  0->0 =0
#  0->1 =2
#  1->0 =1
#  1->1 =0
POS	Node	State
3	S43	0
3	S41	0
3	N27	0
3	N28	0
3	N29	0
3	S24	0
3	N30	0
3	S25	0
3	S26	0
3	N31	0
3	S22	0
3	N32	0
3	N33	0
3	N34	0
3	N35	0
3	N36	0
3	S6	0
3	N37	0
3	N38	0
3	N39	0
3	S11	0
3	S10	0
3	S5	0
3	S9	0
3	N40	0
3	S8	0
3	S7	0
3	N41	0
3	N42	0
3	N43	0
3	N44	0
3	N45	0
3	S17	0
3	S19	0
3	S18	0
3	N46	0
3	S15	0
3	S16	0
3	N47	0
3	S13	0
3	S14	0
3	S12	0
3	S23	0
3	N48	0
3	S20	0
3	S21	0
3	N49	0
3	S4	0
3	N50	0
3	S2	0
3	N51	0
3	S3	0
3	S1	0
3	S52	0
4	N1	0
4	N2	0
4	N3	0
4	S27	0
4	S28	0
4	N4	0
4	N5	1
4	N6	1
4	N7	1
4	S35	1
4	S37	1
4	N8	1
4	S36	1
4	N9	1
4	N10	1
4	S33	1
4	N11	1
4	N12	1
4	S31	1
4	S34	1
4	S32	1
4	N13	1
4	S29	1
4	S30	1
4	N14	1
4	S51	1
4	N15	1
4	N16	1
4	S45	1
4	N17	1
4	S48	1
4	N18	1
4	S49	1
4	N19	1
4	S50	1
4	N20	1
4	S46	1
4	S47	1
4	N21	1
4	N22	1
4	N23	1
4	S38	1
4	N24	1
4	N25	1
4	S39	1
4	S40	1
4	S44	1
4	N26	1
4	S42	1
4	S43	1
4	S41	1
4	N27	0
4	N28	0
4	N29	0
4	S24	0
4	N30	0
4	S25	0
4	S26	0
4	N31	0
4	S22	0
4	N32	0
4	N33	0
4	N34	0
4	N35	0
4	N36	0
4	S6	0
4	N37	0
4	N38	0
4	N39	0
4	S11	0
4	S10	0
4	S5	0
4	S9	0
4	N40	0
4	S8	0
4	S7	0
4	N41	0
4	N42	0
4	N43	0
4	N44	0
4	N45	0
4	S17	0
4	S19	0
4	S18	0
4	N46	0
4	S15	0
4	S16	0
4	N47	0
4	S13	0
4	S14	0
4	S12	0
4	S23	0
4	N48	0
4	S20	0
4	S21	0
4	N49	0
4	S4	0
4	N50	0
4	S2	0
4	N51	0
4	S3	0
4	S1	0
4	S52	0
5	N1	0
5	N2	0
5	N3	0
5	S27	0
5	S28	0
5	N4	0
5	N5	0
5	N6	1
5	N7	1
5	S35	1
5	S37	1
5	N8	1
5	S36	1
5	N9	1
5	N10	1
5	S33	1
5	N11	1
5	N12	1
5	S31	1
5	S34	1
5	S32	1
5	N13	1
5	S29	1
5	S30	1
5	N14	0
5	S51	0
5	N15	0
5	N16	0
5	S45	0
5	N17	0
5	S48	0
5	N18	0
5	S49	0
5	N19	0
5	S50	0
5	N20	0
5	S46	0
5	S47	0
5	N21	1
5	N22	1
5	N23	1
5	S38	1
5	N24	1
5	N25	1
5	S39	1
5	S40	1
5	S44	1
5	N26	1
5	S42	1
5	S43	1
5	S41	1
5	N27	0
5	N28	0
5	N29	0
5	S24	0
5	N30	0
5	S25	0
5	S26	0
5	N31	0
5	S22	0
5	N32	0
5	N33	0
5	N34	0
5	N35	0
5	N36	0
5	S6	0
5	N37	0
5	N38	0
5	N39	0
5	S11	0
5	S10	0
5	S5	0
5	S9	0
5	N40	0
5	S8	0
5	S7	0
5	N41	0
5	N42	0
5	N43	0
5	N44	0
5	N45	0
5	S17	0
5	S19	0
5	S18	0
5	N46	0
5	S15	0
5	S16	0
5	N47	0
5	S13	0
5	S14	0
5	S12	0
5	S23	0
5	N48	0
5	S20	0
5	S21	0
5	N49	0
5	S4	0
5	N50	0
5	S2	0
5	N51	0
5	S3	0
5	S1	0
5	S52	0
6	N1	0
6	N2	0
6	N3	0
6	S27	0
6	S28	0
6	N4	0
6	N5	0
6	N6	0
6	N7	0
6	S35	0
6	S37	0
6	N8	0
6	S36	0
6	N9	0
6	N10	0
6	S33	0
6	N11	0
6	N12	0
6	S31	0
6	S34	0
6	S32	0
6	N13	0
6	S29	0
6	S30	0
6	N14	1
6	S51	1
6	N15	1
6	N16	1
6	S45	1
6	N17	1
6	S48	1
6	N18	1
6	S49	1
6	N19	1
6	S50	1
6	N20	1
6	S46	1
6	S47	1
6	N21	1
6	N22	1
6	N23	1
6	S38	1
6	N24	1
6	N25	1
6	S39	1
6	S40	1
6	S44	1
6	N26	1
6	S42	1
6	S43	1
6	S41	1
6	N27	0
6	N28	0
6	N29	0
6	S24	0
6	N30	0
6	S25	0
6	S26	0
6	N31	0
6	S22	0
6	N32	0
6	N33	0
6	N34	0
6	N35	0
6	N36	0
6	S6	0
6	N37	0
6	N38	0
6	N39	0
6	S11	0
6	S10	0
6	S5	0
6	S9	0
6	N40	0
6	S8	0
6	S7	0
6	N41	0
6	N42	0
6	N43	0
6	N44	0
6	N45	0
6	S17	0
6	S19	0
6	S18	0
6	N46	0
6	S15	0
6	S16	0
6	N47	0
6	S13	0
6	S14	0
6	S12	0
6	S23	0
6	N48	0
6	S20	0
6	S21	0
6	N49	0
6	S4	0
6	N50	0
6	S2	0
6	N51	0
6	S3	0
6	S1	0
6	S52	0
7	N1	0
7	N2	0
7	N3	0
7	S27	0
7	S28	0
7	N4	0
7	N5	0
7	N6	0
7	N7	0
7	S35	0
7	S37	0
7	N8	0
7	S36	0
7	N9	0
7	N10	0
7	S33	0
7	N11	0
7	N12	0
7	S31	0
7	S34	0
7	S32	0
7	N13	0
7	S29	0
7	S30	0
7	N14	0
7	S51	0
7	N15	0
7	N16	0
7	S45	0
7	N17	0
7	S48	0
7	N18	0
7	S49	0
7	N19	0
7	S50	0
7	N20	0
7	S46	0
7	S47	0
7	N21	0
7	N22	0
7	N23	0
7	S38	0
7	N24	0
7	N25	0
7	S39	0
7	S40	0
7	S44	0
7	N26	0
7	S42	0
7	S43	0
7	S41	0
7	N27	0
7	N28	1
7	N29	1
7	S24	1
7	N30	1
7	S25	1
7	S26	1
7	N31	1
7	S22	1
7	N32	1
7	N33	1
7	N34	1
7	N35	1
7	N36	1
7	S6	1
7	N37	1
7	N38	1
7	N39	1
7	S11	1
7	S10	1
7	S5	1
7	S9	1
7	N40	1
7	S8	1
7	S7	1
7	N41	1
7	N42	1
7	N43	1
7	N44	1
7	N45	1
7	S17	1
7	S19	1
7	S18	1
7	N46	1
7	S15	1
7	S16	1
7	N47	1
7	S13	1
7	S14	1
7	S12	1
7	S23	1
7	N48	1
7	S20	1
7	S21	1
7	N49	0
7	S4	0
7	N50	0
7	S2	0
7	N51	0
7	S3	0
7	S1	0
7	S52	0
8	N1	1
8	N2	0
8	N3	0
8	S27	0
8	S28	0
8	N4	0
8	N5	0
8	N6	0
8	N7	0
8	S35	0
8	S37	0
8	N8	0
8	S36	0
8	N9	0
8	N10	0
8	S33	0
8	N11	0
8	N12	0
8	S31	0
8	S34	0
8	S32	0
8	N13	0
8	S29	0
8	S30	0
8	N14	0
8	S51	0
8	N15	0
8	N16	0
8	S45	0
8	N17	0
8	S48	0
8	N18	0
8	S49	0
8	N19	0
8	S50	0
8	N20	0
8	S46	0
8	S47	0
8	N21	0
8	N22	0
8	N23	0
8	S38	0
8	N24	0
8	N25	0
8	S39	0
8	S40	0
8	S44	0
8	N26	0
8	S42	0
8	S43	0
8	S41	0
8	N27	0
8	N28	0
8	N29	0
8	S24	0
8	N30	0
8	S25	0
8	S26	0
8	N31	0
8	S22	0
8	N32	0
8	N33	0
8	N34	0
8	N35	0
8	N36	0
8	S6	0
8	N37	0
8	N38	0
8	N39	0
8	S11	0
8	S10	0
8	S5	0
8	S9	0
8	N40	0
8	S8	0
8	S7	0
8	N41	0
8	N42	0
8	N43	0
8	N44	0
8	N45	0
8	S17	0
8	S19	0
8	S18	0
8	N46	0
8	S15	0
8	S16	0
8	N47	0
8	S13	0
8	S14	0
8	S12	0
8	S23	0
8	N48	0
8	S20	0
8	S21	0
8	N49	0
8	S4	0
8	N50	0
8	S2	0
8	N51	0
8	S3	0
8	S1	0
8	S52	1
9	N1	0
9	N2	0
9	N3	0
9	S27	1
9	S28	0
9	N4	0
9	N5	0
9	N6	0
9	N7	0
9	S35	0
9	S37	0
9	N8	0
9	S36	0
9	N9	0
9	N10	0
9	S33	0
9	N11	0
9	N12	0
9	S31	0
9	S34	0
9	S32	0
9	N13	0
9	S29	0
9	S30	0
9	N14	0
9	S51	0
9	N15	0
9	N16	0
9	S45	0
9	N17	0
9	S48	0
9	N18	0
9	S49	0
9	N19	0
9	S50	0
9	N20	0
9	S46	0
9	S47	0
9	N21	0
9	N22	0
9	N23	0
9	S38	0
9	N24	0
9	N25	0
9	S39	0
9	S40	0
9	S44	0
9	N26	0
9	S42	0
9	S43	0
9	S41	0
9	N27	0
9	N28	0
9	N29	0
9	S24	0
9	N30	0
9	S25	0
9	S26	0
9	N31	0
9	S22	0
9	N32	0
9	N33	0
9	N34	0
9	N35	0
9	N36	0
9	S6	0
9	N37	0
9	N38	0
9	N39	0
9	S11	0
9	S10	0
9	S5	0
9	S9	0
9	N40	0
9	S8	0
9	S7	0
9	N41	0
9	N42	0
9	N43	0
9	N44	0
9	N45	0
9	S17	0
9	S19	0
9	S18	0
9	N46	0
9	S15	0
9	S16	0
9	N47	0
9	S13	0
9	S14	0
9	S12	0
9	S23	0
9	N48	0
9	S20	0
9	S21	0
9	N49	0
9	S4	0
9	N50	0
9	S2	0
9	N51	0
9	S3	0
9	S1	0
9	S52	0
