# print values over probCutOff 0.05
G/L	POS	branch	branchLength	distance2root	distance2NearestOTU	numOfNodes2NearestOTU	probability	expectation
gain	9	N2	0.5698	0.5698	3.299e-08	1	0.4607	0.5702
loss	9	N2	0.5698	0.5698	3.299e-08	1	0.5309	0.6862
gain	9	N3	0.01989	0.5897	0.02394	1	0.9316	0.9324
gain	9	S36	0.02816	0.6179	0	0	0.07406	0.07419
gain	9	N6	0.01132	0.6118	0.007887	1	0.07655	0.07657
loss	9	N7	0.002741	0.6032	0.01041	1	0.6595	0.6596
loss	9	N8	0.01019	0.6134	0.0002261	1	0.2644	0.2645
loss	9	S34	0.01192	0.6151	0	0	0.2646	0.2647
loss	9	S37	0.05268	0.6649	0	0	0.9539	0.9599
loss	9	N12	0.03559	0.655	0.0036	1	0.2955	0.2964
loss	9	S54	0.01257	0.6795	0	0	0.07367	0.07369
loss	9	N26	0.007501	0.6626	0.008984	1	0.05024	0.05025
loss	9	S47	0.008984	0.6716	0	0	0.05567	0.05568
loss	9	S44	0.009586	0.6762	0	0	0.05708	0.05709
loss	9	N34	0.0147	0.6813	0.001661	1	0.08553	0.08557
loss	9	N58	0.01079	0.6384	0.01271	1	0.8905	0.8907
loss	9	S4	0.01271	0.6511	0	0	0.08321	0.08324
loss	9	N59	0.007865	0.6463	0.007782	1	0.07298	0.07299
gain	9	S5	0.01851	0.6701	0	0	0.9861	0.9869
gain	9	S62	0.5698	0.5698	0	0	0.5228	0.6727
loss	9	S62	0.5698	0.5698	0	0	0.5225	0.6723
gain	10	N2	0.5698	0.5698	3.299e-08	1	0.2873	0.344
loss	10	N2	0.5698	0.5698	3.299e-08	1	0.3579	0.4406
gain	10	S28	0.02667	0.6543	0	0	0.9874	0.9882
gain	10	S62	0.5698	0.5698	0	0	0.2873	0.344
loss	10	S62	0.5698	0.5698	0	0	0.3579	0.4406
gain	11	N2	0.5698	0.5698	3.299e-08	1	0.3638	0.4419
loss	11	N2	0.5698	0.5698	3.299e-08	1	0.4372	0.5496
gain	11	N12	0.03559	0.655	0.0036	1	0.2388	0.2393
loss	11	S61	0.0036	0.6586	0	0	0.2377	0.2377
loss	11	N15	0.001326	0.6598	0.003034	1	0.2701	0.2701
gain	11	N20	0.003433	0.6619	0.005117	1	0.7131	0.7131
gain	11	N26	0.007501	0.6626	0.008984	1	0.7184	0.7185
gain	11	S62	0.5698	0.5698	0	0	0.3638	0.4419
loss	11	S62	0.5698	0.5698	0	0	0.4372	0.5496
gain	12	N2	0.5698	0.5698	3.299e-08	1	0.2617	0.2846
loss	12	N2	0.5698	0.5698	3.299e-08	1	0.06548	0.06915
loss	12	S36	0.02816	0.6179	0	0	0.999	0.9991
gain	12	S62	0.5698	0.5698	0	0	0.2617	0.2846
loss	12	S62	0.5698	0.5698	0	0	0.06548	0.06915
