# print values over probCutOff 0.05
G/L	POS	branch	branchLength	distance2root	distance2NearestOTU	numOfNodes2NearestOTU	probability	expectation
loss	9	S37	0.1364	0.5248	0	0	0.5272	0.5367
gain	9	N34	0.1563	0.5448	0.001041	1	0.1153	0.1176
loss	9	N34	0.1563	0.5448	0.001041	1	0.2868	0.2934
loss	9	N57	0.02153	0.3766	0.06551	1	0.05384	0.05386
gain	9	S28	0.09204	0.4686	0	0	0.3957	0.3991
loss	9	N58	0.0324	0.409	0.03311	1	0.5564	0.557
loss	9	S4	0.03762	0.4466	0	0	0.07073	0.07083
loss	9	N59	0.0203	0.4293	0.01281	1	0.05339	0.05341
gain	9	S5	0.042	0.4775	0	0	0.9823	0.9841
gain	9	S62	0.1907	0.1907	0	0	0.1563	0.1608
loss	9	S62	0.1907	0.1907	0	0	0.2832	0.2923
loss	10	N2	0.1907	0.1907	0.06668	1	0.07697	0.07866
gain	10	S28	0.09204	0.4686	0	0	0.9746	0.9779
loss	10	S62	0.1907	0.1907	0	0	0.07991	0.08168
gain	11	N2	0.1907	0.1907	0.06668	1	0.05449	0.05549
loss	11	N2	0.1907	0.1907	0.06668	1	0.1039	0.1064
gain	11	N33	0.03339	0.3885	0.1364	1	0.05821	0.05825
loss	11	S37	0.1364	0.5248	0	0	0.09452	0.0957
gain	11	N34	0.1563	0.5448	0.001041	1	0.9348	0.9478
loss	11	N48	0.002386	0.5621	0.003935	2	0.9876	0.9876
gain	11	S28	0.09204	0.4686	0	0	0.0755	0.07595
loss	11	S62	0.1907	0.1907	0	0	0.1081	0.1107
loss	12	N2	0.1907	0.1907	0.06668	1	0.0716	0.07198
loss	12	S36	0.06668	0.2574	0	0	0.8578	0.8581
gain	12	N3	0.07707	0.2678	0.04827	2	0.1431	0.1433
gain	12	S62	0.1907	0.1907	0	0	0.1044	0.1051
